ESTABLECIMIENTO,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ESTABLECIMIENTO_VARIANTES
INSTITUTO NORMAL PARA VARONES DE ORIENTE,"20-01-0036-46, 20-01-0327-46",20-001,CHIQUIMULA,CHIQUIMULA,"6A AVE. 4-10 ZONA 1, 6A. AVENIDA 4-10 ZONA 1",79420425,CESAR ADALBERTO NOGUERA JACOME,BALVINO CHACÓN PÉREZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA",DIARIO(REGULAR),CHIQUIMULA,INSTITUTO NORMAL PARA VARONES DE ORIENTE
INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE,16-01-0558-46,16-005,ALTA VERAPAZ,COBAN,3A. AVE. 6-23 ZONA 11,79521468,NORA LILIANA FIGUEROA HERNÁNDEZ,VICTOR HUGO DOMÍNGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,"INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTE ""EMILIO ROSALES PONCE"""
INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE,16-01-0559-46,16-005,ALTA VERAPAZ,COBAN,3A. AVE. 6-23 ZONA 11,79521468,NORA LILIANA FIGUEROA HERNÁNDEZ,VICTOR HUGO DOMÍNGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE
INSTITUTO NORMAL PRIVADO JUAN JOS ARVALO BERMEJO,"13-24-0021-46, 13-24-0037-46",13-041,HUEHUETENANGO,SAN ANTONIO HUISTA,"CANTON REFORMA, CANTÓN REFORMA",77921730,KELVIN VIDALIN DEL VALLE MAZARIEGOS,LUIS ENRIQUE VÁSQUEZ VELÁSQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"MATUTINA, VESPERTINA",DIARIO(REGULAR),HUEHUETENANGO,"INSTITUTO NORMAL PRIVADO ""JUAN JOSÉ ARÉVALO BERMEJO"", INSTITUTO NORMAL PRIVADO JUAN JOSE AREVALO BERMEJO"
INSTITUTO NORMAL PRIVADO MIXTO JORGE RABBI MATUL GARCIA,10-17-0017-46,10-011,SUCHITEPEQUEZ,SANTO TOMAS LA UNION,2A. CALLE A BARRIO LA ALAMEDA,78728704,ARNULFO EFRAIN GOMEZ CHAY,VICTOR ROSENDO GODOY NATARENO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SUCHITEPÉQUEZ,"INSTITUTO NORMAL PRIVADO MIXTO ""JORGE RABBI MATUL GARCIA"""
INSTITUTO NORMAL RAFAEL LANDIVAR,10-01-0912-46,10-019,SUCHITEPEQUEZ,MAZATENANGO,CANTON SANTA CRISTINA,78725695,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,NANCY ELIZABETH BARRERA CASTAÑEDA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ,INSTITUTO NORMAL RAFAEL LANDIVAR
INSTITUTO NUESTRA CULTURA,00-19-4440-46,01-620,CIUDAD CAPITAL,ZONA 19,8A. AVENIDA 1-41 COLONIA LA FLORIDA,24375834,RONALD MAURICIO MORALES VIVAR,GLENDA EUNISSE VÉLIZ FUENTES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,FIN DE SEMANA,GUATEMALA OCCIDENTE,INSTITUTO NUESTRA CULTURA
INSTITUTO OFICIAL DE BACHILLERATO POR MADUREZ CANTEL,09-14-0046-46,09-024,QUETZALTENANGO,CANTEL,ALDEA LLANOS DE URBINA,41778886,MANUEL PASCUAL CASTRO GARCIA,ILSE IVONNE TORRES LÓPEZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,"INSTITUTO OFICIAL DE BACHILLERATO POR MADUREZ ""CANTEL"""
INSTITUTO OFICIAL DE EDUCACIN BSICA Y BACHILLERATO POR MADUREZ NUEVA ESPERANZA,00-18-0266-46,01-111,CIUDAD CAPITAL,ZONA 18,KILOMETRO 5.5 FINAL COLONIA ATLÁNTIDA,23702700,ROSA ALBA LOPEZ PIRIR,MARGARITA DEL ROSARIO JUÁREZ MARTÍNEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,INSTITUTO OFICIAL DE EDUCACIÓN BÁSICA Y BACHILLERATO POR MADUREZ NUEVA ESPERANZA
INSTITUTO OFICIAL DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ CAMBIO INTEGRAL,01-13-0122-46,01-405,GUATEMALA,FRAIJANES,KM. 17.5 CARRETERA QUE CONDUCE A PAVON,23702700,BLANCA SARAI GUTIERREZ PINEDA,WILLIAM FRANCISCO ARROLLO RAMÍREZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,INSTITUTO OFICIAL DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ CAMBIO INTEGRAL
INSTITUTO OFICIAL DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ GENESIS,01-13-0128-46,01-405,GUATEMALA,FRAIJANES,KM. 19.5 CARRETERA A EL SALVADOR,53124187,BLANCA SARAI GUTIERREZ PINEDA,ELSA REINA ALVIZURES CRUZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,INSTITUTO OFICIAL DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ GENESIS
INSTITUTO OFICIAL DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ LICENCIADA MIRMA FIGUEROA DE CORO,01-02-0088-46,01-405,GUATEMALA,SANTA CATARINA PINULA,LOTE 45 ALDEA EL PAJON,59237443,BLANCA SARAI GUTIERREZ PINEDA,JOSÉ ADOLFO ESPINOZA MORATAYA,DIVERSIFICADO,MUNICIPAL,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA ORIENTE,"INSTITUTO OFICIAL DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ ""LICENCIADA MIRMA FIGUEROA DE CORO"""
"INSTITUTO OFICIAL DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ, SUBSIDIADO POR LA MUNICIPALIDAD DE SANTA CATARINA PINULA",01-02-0085-46,01-405,GUATEMALA,SANTA CATARINA PINULA,6A. AVENIDA 1-10 ZONA 1,52042077,BLANCA SARAI GUTIERREZ PINEDA,CALIXTO HIPÓLITO BÁMACA MÉNDEZ,DIVERSIFICADO,MUNICIPAL,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA ORIENTE,"INSTITUTO OFICIAL DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ, SUBSIDIADO POR LA MUNICIPALIDAD DE SANTA CATARINA PINULA"
INSTITUTO OFICIAL DIVERSIFICADO CON ORIENTACION EN COMPUTACION,11-01-0076-46,11-014,RETALHULEU,RETALHULEU,1A AVE. 4-08 ZONA 2,77712637,JULIO CÉSAR HERRERA ROLDÁN,CARLOS HUMBERTO SOLOGAISTOA MONTERROSO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),RETALHULEU,INSTITUTO OFICIAL DIVERSIFICADO CON ORIENTACION EN COMPUTACION
INSTITUTO PARTICULAR CATARINECO,22-03-0028-46,22-032,JUTIAPA,SANTA CATARINA MITA,BARRIO LA ERMITA,53673753,NANSI ROSMERY MARTINEZ BARRIENTOS DE ORTIZ,JOSÉ DANIEL PALMA OSORIO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA,INSTITUTO PARTICULAR CATARINECO
INSTITUTO PARTICULAR DE EDUCACION AVANZADA DE COATEPEQUE IPEAC,09-20-0023-46,09-030,QUETZALTENANGO,COATEPEQUE,"1RA. AVENIDA 8-59 ZONA 1, BARRIO INDEPENDENCIA",77756738,DAVID FEDERICO CIFUENTES HURTADO,VINICIO NOÉ MARTÍNEZ ROSALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUETZALTENANGO,INSTITUTO PARTICULAR DE EDUCACION AVANZADA DE COATEPEQUE -IPEAC-
INSTITUTO PARTICULAR DE FORMACIN Y DESARROLLO PROFESIONAL INDEFORP,"22-11-0078-46, 22-11-0079-46, 22-11-0086-46, 22-11-0089-46, 22-11-0095-46, 22-11-0096-46, 22-11-2308-46","22-022, 22-028",JUTIAPA,COMAPA,"CALLE PRINCIPAL, CASERIO SAN MIGUEL, ALDEA ESCUINAPA., CASERÍO SAN MIGUEL, ALDEA ESCUINAPA, ENTRADA AL MUNICIPIO DE COMAPA",53486062,"EMERSON RAUL ORTIZ LOPEZ, JULIO RENE HERNANDEZ GONZALEZ","EDWIN MARCIANO VALDÉZ ARANA, RAFAEL GONZÁLEZ ANDRINO",DIVERSIFICADO,PRIVADO,"RURAL, URBANA",ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",JUTIAPA,"INSTITUTO PARTICULAR DE FORMACIÓN Y DESARROLLO PROFESIONAL ""INDEFORP"", INSTITUTO PARTICULAR FORMACION Y DESARROLLO PROFESIONAL ""INDEFORP II"", INSTITUTO PARTICULAR FORMACIÓN Y DESARROLLO PROFESIONAL ""INDEFORP II"", INSTITUTO PARTICULAR MIXTO DE FORMACION Y DESARROLLO PROFESIONAL INDEFORP, INSTITUTO PARTICULAR MIXTO DE FORMACIÓN Y DESARROLLO PROFESIONAL ""INDEFORP"", INSTITUTO PARTICULAR MIXTO DE FORMACIÓN Y DESARROLLO PROFESIONAL INDEFORP"
INSTITUTO PARTICULAR MIXTO ADONAI,"18-01-0377-46, 18-01-0378-46, 18-01-0445-46",18-008,IZABAL,PUERTO BARRIOS,CASERIO LA REFINERIA,54837080,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,"MARÍA FERNANDA RODRÍGUEZ LÓPEZ, SANDRA PATRICIA LÓPEZ JORDÁN",DIVERSIFICADO,PRIVADO,"RURAL, URBANA",ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA","FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA)",IZABAL,"INSTITUTO PARTICULAR MIXTO ""ADONAI"""
INSTITUTO PARTICULAR MIXTO AK' TENAMIT PUEBLO NUEVO,18-02-2916-46,18-041,IZABAL,LIVINGSTON,ALDEA BARRA LÁMPARA,57124427,AVELINO TEC CHUN,WALTER AMILCAR XOL CONTRERAS,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),IZABAL,INSTITUTO PARTICULAR MIXTO AK' TENAMIT PUEBLO NUEVO
INSTITUTO PARTICULAR MIXTO CIENCIA Y DESARROLLO,"00-01-0366-46, 00-01-2908-46, 03-01-0259-46, 03-01-1425-46, 18-01-0182-46, 18-01-0185-46, 18-01-0447-46","01-403, 03-002, 18-008","CIUDAD CAPITAL, IZABAL, SACATEPEQUEZ","ANTIGUA GUATEMALA, PUERTO BARRIOS, ZONA 1","10 CALLE 3-15, 14 CALLE ENTRE 11 AVENIDA, 14 CALLE ENTRE 11 Y 12 AVENIDA, 9A. CALLE ORIENTE NO. 13 ""A""","36117881, 58566256, 59309334, 79429434, 79486407","CARLOS HUMBERTO GONZÁLEZ DE LEÓN, ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA, ZOILA ESTHELA JONFE OROZCO","DINA CARRILLO PAREDES, EDGAR ROMEO MARTÍNEZ CÁCERES, MYRIAM JEANNETTE CIFUENTES ORTIZ",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA","FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA)","GUATEMALA NORTE, IZABAL, SACATEPÉQUEZ","INSTITUTO PARTICULAR MIXTO ""CIENCIA Y DESARROLLO"", INSTITUTO PARTICULAR MIXTO ""DESARROLLO Y CIENCIA"", INSTITUTO PARTICULAR MIXTO CIENCIA Y DESARROLLO"
INSTITUTO PARTICULAR MIXTO DE BACH. POR MADUREZ DR. MARIANO GLVEZ,"18-01-0422-46, 18-01-2722-46",18-008,IZABAL,PUERTO BARRIOS,"ALDEA SANTO TOMAS DE CASTILLA, FRENTE AL PARQUE BELGA ALDEA SANTO TOMÁS DE CASTILLA","58685566, 58963256",ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,"ELIA ERSELI FRANCO CALDERÓN, SINDY MARISOL NUÑEZ VALIENTE",DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA","FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",IZABAL,"INSTITUTO PARTICULAR MIXTO DE BACH. POR MADUREZ ""DR. MARIANO GÁLVEZ"", INSTITUTO PARTICULAR MIXTO DE BACHILLERATO POR MADUREZ ""DR. MARIANO GALVEZ"""
INSTITUTO PARTICULAR MIXTO DE BACHILLERATO POR MADUREZ XALAPN,21-01-0413-46,21-004,JALAPA,JALAPA,1RA. CALLE 2-06 ZONA 1,42162211,VICTOR MANUEL PORTILLO RECINOS,JOSÉ GUILLERMO RODAS GUDIEL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),JALAPA,"INSTITUTO PARTICULAR MIXTO DE BACHILLERATO POR MADUREZ ""XALAPÁN"""
INSTITUTO PARTICULAR MIXTO DE CIENCIAS COMERCIALES,22-07-0330-46,22-017,JUTIAPA,ATESCATEMPA,,,SANDRA PATRICIA LOPEZ DE CAMBARA,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA,INSTITUTO PARTICULAR MIXTO DE CIENCIAS COMERCIALES
INSTITUTO PARTICULAR MIXTO DE COMERCIO,"06-14-0046-46, 06-14-0049-46, 06-14-0416-46",06-025,SANTA ROSA,NUEVA SANTA ROSA,0 AVENIDA ENTRE 12 Y 13 CALLE ZONA 1 CANTÓN PALÍN,"48299988, 78889751",ROGER AMILCAR ALVAREZ SALAZAR,KARLA PATRICIA SERRA TURCIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"MATUTINA, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), SEMIPRESENCIAL (FIN DE SEMANA)",SANTA ROSA,INSTITUTO PARTICULAR MIXTO DE COMERCIO
INSTITUTO PARTICULAR MIXTO DE EDUCACIN BSICA Y DIVERSIFICADA DR. PEDRO MOLINA,"18-04-0377-46, 18-04-0448-46, 18-04-0449-46, 18-04-0483-46, 18-04-2444-46, 18-04-3275-46",18-039,IZABAL,MORALES,"ALDEA ARAPAHOE, BARRIO EL CARRIZAL","79477890, 79477890-79477891, 79480009",ELSA YADIRA MARTINEZ PEREZ,"JENIFER CAROLINA LÓPEZ CABRERA, JOSE ALBERTO JUAREZ DE PAZ, MARÍA MAGDALENA MORALES CARRILLO, MAYNOR ANIBAL CASTRO PAIZ",DIVERSIFICADO,PRIVADO,"RURAL, URBANA",ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, NOCTURNA, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA)",IZABAL,"INSTITUTO PARTICULAR MIXTO DE EDUCACION BASICA Y DIVERSIFICADA ""DR. PEDRO MOLINA"", INSTITUTO PARTICULAR MIXTO DE EDUCACION BASICA Y DIVERSIFICADA DR. PEDRO MOLINA, INSTITUTO PARTICULAR MIXTO DE EDUCACION BÁSICA Y DIVERSIFICADA ""DR. PEDRO MOLINA"", INSTITUTO PARTICULAR MIXTO DE EDUCACION BÁSICA Y DIVERSIFICADA DR. PEDRO MOLINA, INSTITUTO PARTICULAR MIXTO DE EDUCACION DIVERSIFICADA PEDRO MOLINA, INSTITUTO PARTICULAR MIXTO DE EDUCACIÓN BÁSICA Y DIVERSIFICADA ""DR. PEDRO MOLINA"""
INSTITUTO PARTICULAR MIXTO DE MERCADOTECNIA Y PUBLICIDAD DE ORIENTE IMPO,22-01-0408-46,22-003,JUTIAPA,JUTIAPA,5A. AVE. 7-35 ZONA 1,78441530,REMBERTO RECINOS SARCEÑO,JORGE MARIO AGUILAR RETANA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),JUTIAPA,INSTITUTO PARTICULAR MIXTO DE MERCADOTECNIA Y PUBLICIDAD DE ORIENTE -IMPO-
INSTITUTO PARTICULAR MIXTO DE MERCADOTECNIA Y PUBLICIDAD DE SURORIENTE,"06-02-0030-46, 06-02-0032-46, 06-02-0101-46, 06-02-0448-46, 06-08-0078-46, 06-08-0090-46, 06-08-0449-46","06-012, 06-027",SANTA ROSA,"BARBERENA, CHIQUIMULILLA","4A. CALLE 8-36 ZONA 1, 4A. CALLE 8-36, ZONA 1, 4TA. CALLE 8-36 ZONA 1, BARRIO SANTIAGO","78445005, 78851585","SIRIA ILEANA GONZALEZ REYES DE SIERRA, YESENIA ALEJANDRA HERRERA MONTERROSO DE PIVARAL","BLANCA MAGNOLIA ALVIZURES GRAJEDA, ELMA JANETH RAMÍREZ SANDOVAL, KARLA JULISA ROMERO SERRANO",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA)",SANTA ROSA,INSTITUTO PARTICULAR MIXTO DE MERCADOTECNIA Y PUBLICIDAD DE SURORIENTE
INSTITUTO PARTICULAR MIXTO DEMOCRACENSE,"13-12-0081-46, 13-12-0134-46, 13-12-5947-46",13-026,HUEHUETENANGO,LA DEMOCRACIA,ALDEA CAMOJALLITO,"30620035, 31227589",ABELARDO MEFIBOSET VILLATORO HERRERA,"NEFTALÍ MANUEL PALACIOS TORRES, VÍCTOR ALFONSO TELLO MORALES",DIVERSIFICADO,PRIVADO,"RURAL, URBANA",ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA","FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA)",HUEHUETENANGO,INSTITUTO PARTICULAR MIXTO DEMOCRACENSE
INSTITUTO PARTICULAR MIXTO EL DIVINO MAESTRO,"18-01-0325-46, 18-01-0449-46, 18-01-1969-46, 18-01-2919-46",18-008,IZABAL,PUERTO BARRIOS,"BARRIO EL PUEBLITO ALDEA SANTO TOMAS DE CASTILLA, BARRIO EL PUEBLITO, ALDEA SANTO TOMAS DE CASTILLA, CALZADA AL CAMPO DE DIOS ALDEA SANTO TOMAS DE CASTILLA, CALZADA CAMPO DE DIOS, BARRIO EL PUEBLITO",79484009,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,"HELEN URI HERNANDEZ NAVAS, MANUEL DE JESÚS SAGASTUME CASASOLA",DIVERSIFICADO,PRIVADO,"RURAL, URBANA",ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA)",IZABAL,"INSTITUTO PARTICULAR MIXTO ""EL DIVINO MAESTRO"""
INSTITUTO PARTICULAR MIXTO EL JCARO,"22-06-0016-46, 22-06-0030-46, 22-06-2267-46",22-034,JUTIAPA,YUPILTEPEQUE,"ALDEA EL JICARO, ALDEA EL JÍCARO",57407418,INMER WILFREDO VELASQUEZ DOMINGUEZ,YOSELINNE ESKARLETT MUÑOZ ZUÑIGA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",JUTIAPA,"INSTITUTO PARTICULAR MIXTO EL JICARO, INSTITUTO PARTICULAR MIXTO EL JÍCARO"
INSTITUTO PARTICULAR MIXTO GNESIS,"18-04-0429-46, 18-04-0431-46, 21-01-0302-46, 21-01-0401-46","18-039, 21-004","IZABAL, JALAPA","JALAPA, MORALES","BARRIO EL MITCHAL, CALLE TRANSITO ROJAS 0-36 ZONA 6, BARRIO CHIPILAPA","42084457, 49165611","ELSA YADIRA MARTINEZ PEREZ, VICTOR MANUEL PORTILLO RECINOS","NESTOR EFRAÍN SANDOVAL CAMPOS, NUBAR ENID MOLINEROS ORTEGA",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA","FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)","IZABAL, JALAPA","INSTITUTO PARTICULAR MIXTO ""GÉNESIS"", INSTITUTO PARTICULAR MIXTO ""LICEO GENESIS"", INSTITUTO PARTICULAR MIXTO ""LICEO GÉNESIS"""
INSTITUTO PARTICULAR MIXTO INTERCULTURAL CIENCIA Y DESARROLLO,"13-08-0045-46, 13-08-0062-46, 13-08-7124-46","13-020, 13-021",HUEHUETENANGO,SAN PEDRO SOLOMA,"BARRIO ESQUIPULAS, ZONA 6",77806985,PETRONA SABINA LÓPEZ LORENZO DE ANTONIO,"JAIME ESTUARDO DOMÍNGUEZ RODAS, ROSALIO TELEGUARIO MAGZUL",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, SIN JORNADA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA)",HUEHUETENANGO,"INSTITUTO PARTICULAR MIXTO INTERCULTURAL ""CIENCIA Y DESARROLLO"", INSTITUTO PARTICULAR MIXTO INTERCULTURAL CIENCIA Y DESARROLLO"
INSTITUTO PARTICULAR MIXTO ISTMANIA,05-02-0217-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,4TA. AV. 5-55 ZONA 1,78825876,JUAN FRANCISCO GODOY DAVILA,ANA GISELA MAYORGA DE LEÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA,"INSTITUTO PARTICULAR MIXTO ""ISTMANIA"""
INSTITUTO PARTICULAR MIXTO JOS MARTI,"00-01-0247-46, 00-01-0745-46","01-317, 01-627",CIUDAD CAPITAL,ZONA 1,"8A CALLE 12-41, 8A. CALLE 12-41",22539053,"ISAURA AMPARO RECINOS CARRILLO, MARIANO DOMINGO ESTRADA TELETOR",REGINA CORALIA GARCÍA CONTRERAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"MATUTINA, SIN JORNADA","DIARIO(REGULAR), SEMIPRESENCIAL (FIN DE SEMANA)",GUATEMALA NORTE,"INSTITUTO PARTICULAR MIXTO ""JOSÉ MARTI"", INSTITUTO PARTICULAR MIXTO JOSE MARTI"
INSTITUTO PARTICULAR MIXTO JOSE MARIA BONILLA RUANO,"18-01-0242-46, 18-01-0243-46, 18-01-0440-46",18-008,IZABAL,PUERTO BARRIOS,"19 CALLE 14 AVENIDA, 19 CALLE 14 AVENIDAS",53108367,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,GUSTAVO GUMERCINDO RODAS MAZARIEGOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA","FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA)",IZABAL,"INSTITUTO PARTICULAR MIXTO ""JOSE MARIA BONILLA RUANO"", INSTITUTO PARTICULAR MIXTO JOSE MARIA BONILLA RUANO"
INSTITUTO PARTICULAR MIXTO MADRE MIRIAM SIMON,18-03-0252-46,18-021,IZABAL,EL ESTOR,"6A. AVENIDA Y 6A. CALLE, ZONA 1",79497223,JERSON ARTURO NAVAS ENAMORADO,WELFRED NEDELSO RUIZ CANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL,"INSTITUTO PARTICULAR MIXTO ""MADRE MIRIAM SIMON"""
INSTITUTO PARTICULAR MIXTO MARA CHINCHILLA,"22-05-0057-46, 22-05-0073-46, 22-05-0302-46, 22-05-1596-46",22-017,JUTIAPA,ASUNCION MITA,BARRIO LA FEDERAL,78457668,SANDRA PATRICIA LOPEZ DE CAMBARA,SILVIA ERNESTINA MARTÍNEZ NAVAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",JUTIAPA,"INSTITUTO PARTICULAR MIXTO ""MARIA CHINCHILLA"", INSTITUTO PARTICULAR MIXTO ""MARÍA CHINCHILLA"", INSTITUTO PARTICULAR MIXTO MARIA CHINCHILLA"
INSTITUTO PARTICULAR MIXTO MIGUEL NGEL ASTURIAS,00-07-0656-46,01-617,CIUDAD CAPITAL,ZONA 7,"4A. AVENIDA 0-28 ZONA 7 COLONIA LANDIVAR GUATEMALA, GUATEMALA",24408842,MARIA DEL ROSARIO VARGAS SANDOVAL,IRMA YOLANDA ROSALES SALAZAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,"INSTITUTO PARTICULAR MIXTO ""MIGUEL ÁNGEL ASTURIAS"""
INSTITUTO PARTICULAR MIXTO NOCTURNO LIC. EMILIO ARENALES CATALN,"00-11-0078-46, 00-11-0861-46, 00-11-8254-46","01-209, 01-641",CIUDAD CAPITAL,ZONA 11,"2A AVE. 4-21 ZONA 11, 2A. AVENIDA 4-21, 2A. AVENIDA 4-41","24723222, 40900292, 50007522","MILTON ALONSO ALVAREZ FUENTES, MIRIAM DEL CARMEN OROZCO HERNANDEZ",SILVIA PATRICIA CATALAN SANCHEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"MATUTINA, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), SEMIPRESENCIAL (FIN DE SEMANA)",GUATEMALA SUR,"INSTITUTO PARTICULAR MIXTO NOCTURNO ""LIC. EMILIO ARENALES CATALÁN"""
